Impact_ID,Asset_ID,Region,Risk_Level,Last_Updated
IMP_08057,AST_01026,Asia Pacific,Low,2026-05-06 00:46:50
IMP_08058,AST_01027,Middle East & Africa,Low,2026-04-26 00:46:50
IMP_08059,AST_01027,Asia Pacific,Low,2026-05-07 00:46:50
IMP_08060,AST_01027,Middle East & Africa,High,2026-04-08 00:46:50
IMP_08061,AST_01028,Middle East & Africa,Low,2026-04-12 00:46:50
IMP_08062,AST_01028,North America,High,2026-04-11 00:46:50
IMP_08063,AST_01028,North America,Low,2026-05-01 00:46:50
IMP_08064,AST_01029,Latin America,High,2026-04-18 00:46:50
IMP_08065,AST_01029,Latin America,Low,2026-04-26 00:46:50
IMP_08066,AST_01029,Middle East & Africa,Low,2026-05-02 00:46:50
IMP_08067,AST_01030,Europe,Low,2026-05-02 00:46:50
IMP_08068,AST_01030,Asia Pacific,Low,2026-04-12 00:46:50
IMP_08069,AST_01031,Europe,High,2026-05-04 00:46:50
IMP_08070,AST_01031,North America,Low,2026-05-04 00:46:50
IMP_08071,AST_01032,Latin America,High,2026-05-04 00:46:50
IMP_08072,AST_01032,Latin America,Low,2026-04-11 00:46:50
IMP_08073,AST_01033,Middle East & Africa,Low,2026-04-09 00:46:50
IMP_08074,AST_01033,Europe,Low,2026-04-24 00:46:50
IMP_08075,AST_01033,Middle East & Africa,Low,2026-04-12 00:46:50
IMP_08076,AST_01034,Europe,Low,2026-05-03 00:46:50
IMP_08077,AST_01034,North America,Low,2026-04-20 00:46:50
IMP_08078,AST_01035,Europe,Low,2026-04-16 00:46:50
IMP_08079,AST_01035,Latin America,Low,2026-04-09 00:46:50
IMP_08080,AST_01035,Asia Pacific,Low,2026-05-07 00:46:50
IMP_08081,AST_01036,Latin America,Low,2026-04-16 00:46:50
IMP_08082,AST_01036,Middle East & Africa,Low,2026-04-23 00:46:50
IMP_08083,AST_01036,North America,Low,2026-05-04 00:46:50
IMP_08084,AST_01037,Asia Pacific,Low,2026-04-24 00:46:50
IMP_08085,AST_01037,Middle East & Africa,Low,2026-04-10 00:46:50
IMP_08086,AST_01037,Europe,Low,2026-04-23 00:46:50
IMP_08087,AST_01038,North America,Low,2026-04-17 00:46:50
IMP_08088,AST_01038,Middle East & Africa,Low,2026-04-29 00:46:50
IMP_08089,AST_01038,Asia Pacific,Low,2026-04-21 00:46:50
IMP_08090,AST_01039,Latin America,Low,2026-04-22 00:46:50
IMP_08091,AST_01039,Middle East & Africa,High,2026-04-15 00:46:50
IMP_08092,AST_01040,Asia Pacific,High,2026-04-29 00:46:50
IMP_08093,AST_01040,Middle East & Africa,High,2026-04-15 00:46:50
IMP_08094,AST_01041,Asia Pacific,Low,2026-05-07 00:46:50
IMP_08095,AST_01041,Middle East & Africa,Low,2026-05-03 00:46:50
IMP_08096,AST_01041,Asia Pacific,Low,2026-04-13 00:46:50
IMP_08097,AST_01042,Asia Pacific,High,2026-04-23 00:46:50
IMP_08098,AST_01043,North America,Low,2026-04-11 00:46:50
IMP_08099,AST_01043,Asia Pacific,Low,2026-05-04 00:46:50
IMP_08100,AST_01043,Asia Pacific,High,2026-04-11 00:46:50
IMP_08101,AST_01044,North America,High,2026-04-19 00:46:50
IMP_08102,AST_01044,Middle East & Africa,High,2026-04-15 00:46:50
IMP_08103,AST_01044,Latin America,Low,2026-04-27 00:46:50
IMP_08104,AST_01045,Europe,High,2026-04-23 00:46:50
IMP_08105,AST_01045,Middle East & Africa,High,2026-04-11 00:46:50
IMP_08106,AST_01046,Europe,Low,2026-04-19 00:46:50
IMP_08107,AST_01047,Latin America,Low,2026-04-14 00:46:50
IMP_08108,AST_01048,Europe,Low,2026-04-17 00:46:50
IMP_08109,AST_01048,Europe,Low,2026-05-02 00:46:50
IMP_08110,AST_01049,North America,High,2026-04-18 00:46:50
IMP_08111,AST_01049,North America,High,2026-05-07 00:46:50
